,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
42,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,HumanEval,0.59621474890665,0.6381390438847837,0.5457698687980695,0.5561001357261345,0.5367214598099834
43,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,HumanEval,0.5420751017946003,0.6039812999547572,0.5334037098476849,0.5382295279746648,0.565827175388327
44,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,HumanEval,0.5374000904840891,0.5888252148997133,0.5193786759161516,0.5306891871512588,0.5445634142663248
45,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.4775297843462526,0.45008294374905733,0.5266928065148547,0.520660533856131,0.492685869401297
46,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.47225154576986955,0.5030161363293629,0.5593424822801993,0.576836072990499,0.5788719650128182
47,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.473307193485146,0.5033931533705328,0.5839993967727334,0.5748755843764136,0.5832453626903936
48,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.6055078683834065,0.6269670958512197,0.5670958512160249,0.5752503576537924,0.5919170243204607
49,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.6055793991416332,0.636337625178829,0.6574391988555105,0.6606580829756838,0.6339771101573689
50,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.5658082975679545,0.6343347639485001,0.6160944206008602,0.6669527896995734,0.6708154506437798
51,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.5691702432045804,0.5653075822603731,0.5845493562231773,0.5974964234620914,0.6048640915593722
52,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,0.6058655221745377,0.5942775393419181,0.6151645207439213,0.6233905579399157,0.6608011444921339
53,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,0.6050786838340518,0.5938483547925621,0.5937052932761107,0.623605150214595,0.6655221745350531
54,gemini-2.5-flash-lite,phi4-14b,internal state,1/2,HumanEval,0.5471475719000486,0.41867043847241814,0.48931321703599023,0.5120226308345125,0.4886845827439896
55,gemini-2.5-flash-lite,phi4-14b,internal state,2/3,HumanEval,0.5976740531195976,0.4213421342134213,0.5602703127455617,0.5457331447430456,0.5640421184975652
56,gemini-2.5-flash-lite,phi4-14b,internal state,3/4,HumanEval,0.5930378752160957,0.41576300487191575,0.5843155744145858,0.5457331447430466,0.5825868301115825
57,gemini-2.5-flash-lite,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.4256639949709253,0.41662737702341507,0.4702184504164687,0.43729372937293753,0.4563099167059584
58,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,0.5327675624705319,0.4666823825239667,0.5774791764890777,0.5489548954895497,0.5902090209020936
59,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,0.5342605689140337,0.46683954109696707,0.5204306144900203,0.5181518151815171,0.5847084708470863
60,gpt-4o,llama3-8b,internal state,1/2,APPS,0.6940128395980687,0.6816384443617451,0.6461434685522913,0.6800334946036513,0.6346296985485698
61,gpt-4o,llama3-8b,internal state,2/3,APPS,0.6997580945292187,0.6823362486043945,0.5733857461853398,0.6238835132117633,0.6120441012281378
62,gpt-4o,llama3-8b,internal state,3/4,APPS,0.7025027912169746,0.686104391514704,0.631908262002236,0.671450502419058,0.6444687383699315
63,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,APPS,0.5916682173427648,0.6090900632675874,0.5927149237067391,0.628535541496096,0.6374906959434338
64,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,APPS,0.626302567919616,0.6157657238556047,0.6012048753256446,0.6175567547450724,0.5924823222925222
65,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,APPS,0.6272329735764822,0.6170217714923742,0.6009024934871633,0.620580573129888,0.5824572013397868
66,gpt-4o,llama3.1-8b,internal state,1/2,APPS,0.7429936746848865,0.7601689828708595,0.73154346922757,0.7610923865367721,0.6932683872754948
67,gpt-4o,llama3.1-8b,internal state,2/3,APPS,0.7491573941548535,0.7637240869846232,0.7429705895932381,0.7628237684103586,0.7086430583129391
68,gpt-4o,llama3.1-8b,internal state,3/4,APPS,0.7451867583914289,0.7620388752943331,0.7554365390830576,0.7710882312202764,0.6883281776628628
69,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,APPS,0.6266909829631999,0.5936100466318831,0.5907936654508501,0.6054296135555643,0.5880927097280555
