,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.9146341463414634,0.9573170731707317,0.9451219512195121,0.926829268292683,0.926829268292683
35,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.9146341463414634,0.9573170731707317,0.8170731707317073,0.926829268292683,0.9451219512195121
36,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,HumanEval,0.9146341463414634,0.9390243902439024,1.0,0.9085365853658537,0.9573170731707317
37,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,HumanEval,0.8963414634146342,0.926829268292683,1.0,0.8780487804878049,0.8963414634146342
38,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,HumanEval,0.9146341463414634,0.8780487804878049,1.0,0.926829268292683,1.0
39,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.9695121951219512,0.9390243902439024,0.926829268292683,0.9390243902439024,0.8536585365853658
40,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.9390243902439024,0.9085365853658537,0.8475609756097561,0.8780487804878049,0.8536585365853658
41,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.9573170731707317,0.9085365853658537,0.8475609756097561,0.8780487804878049,0.8475609756097561
42,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,HumanEval,0.926829268292683,0.926829268292683,1.0,0.926829268292683,0.9024390243902439
43,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,HumanEval,0.926829268292683,0.8780487804878049,1.0,0.8963414634146342,0.8780487804878049
44,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,HumanEval,0.8841463414634146,0.8780487804878049,1.0,0.8658536585365854,0.8780487804878049
45,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.9573170731707317,0.9695121951219512,0.9146341463414634,0.9573170731707317,1.0
46,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.9451219512195121,0.926829268292683,0.9451219512195121,0.9390243902439024,1.0
